"","Group"
"Solid Tissue Normal21","Solid Tissue Normal"
"Solid Tissue Normal22","Solid Tissue Normal"
"Solid Tissue Normal23","Solid Tissue Normal"
"Solid Tissue Normal24","Solid Tissue Normal"
"Solid Tissue Normal25","Solid Tissue Normal"
"Solid Tissue Normal26","Solid Tissue Normal"
"Solid Tissue Normal27","Solid Tissue Normal"
"Solid Tissue Normal28","Solid Tissue Normal"
"Solid Tissue Normal29","Solid Tissue Normal"
"Solid Tissue Normal30","Solid Tissue Normal"
"Solid Tissue Normal31","Solid Tissue Normal"
"Solid Tissue Normal32","Solid Tissue Normal"
"Solid Tissue Normal33","Solid Tissue Normal"
"Solid Tissue Normal34","Solid Tissue Normal"
"Solid Tissue Normal35","Solid Tissue Normal"
"Solid Tissue Normal36","Solid Tissue Normal"
"Solid Tissue Normal37","Solid Tissue Normal"
"Solid Tissue Normal38","Solid Tissue Normal"
"Solid Tissue Normal39","Solid Tissue Normal"
"Solid Tissue Normal40","Solid Tissue Normal"
"Solid Tissue Normal41","Solid Tissue Normal"
"Solid Tissue Normal42","Solid Tissue Normal"
"Solid Tissue Normal43","Solid Tissue Normal"
"Solid Tissue Normal44","Solid Tissue Normal"
"Solid Tissue Normal45","Solid Tissue Normal"
"Solid Tissue Normal46","Solid Tissue Normal"
"Solid Tissue Normal47","Solid Tissue Normal"
"Solid Tissue Normal48","Solid Tissue Normal"
"Solid Tissue Normal49","Solid Tissue Normal"
"Solid Tissue Normal50","Solid Tissue Normal"
"Solid Tissue Normal51","Solid Tissue Normal"
"Solid Tissue Normal52","Solid Tissue Normal"
